date,epoch,transactions,stake_rewards,burnt_tokens,total_iota_supply
2025-05-05,0,1571544,767001031700000,19805700000,4600766981226000000
2025-05-06,1,1617404,767000001500000,20302500000,4600766981226000000
2025-05-07,2,1671147,767000000500000,20626500000,4601533960925000000
2025-05-08,3,1668332,767000001000000,20890000000,4602300940299000000
2025-05-09,4,1651422,767000000000000,20547000000,4603067919410000000
2025-05-10,5,1702207,767000000000000,20729000000,4603834898863000000
2025-05-11,6,1699334,767000000000000,19426000000,4604601878134000000
2025-05-12,7,1709757,767000000400000,20997400000,4605368858708000000
2025-05-13,8,1687411,767000000410000,21814410000,4606135837711000000
2025-05-14,9,1675949,767000000250000,20232250000,4606902815897000000
2025-05-15,10,1678325,767000000610000,20186610000,4607669795665000000
2025-05-16,11,1686094,767000000200000,19090200000,4608436775479000000
2025-05-17,12,1650035,767000000400000,17700400000,4609203756389000000
2025-05-18,13,1672276,767000000010000,18796010000,4609970738689000000
2025-05-19,14,1682455,767000000010000,18799010000,4610737719893000000
2025-05-20,15,1634369,767000000530000,17834530000,4611504701094000000
2025-05-21,16,1639330,767000003300000,3958300000,4612271683260000000
2025-05-22,17,1665625,767000000610000,16323610000,4613038679305000000
2025-05-23,18,1680109,767000001040000,19936040000,4613805662982000000
2025-05-24,19,1676062,767000000140000,17647140000,4614572643047000000
2025-05-25,20,1667418,767000000120000,17908120000,4615339625400000000
2025-05-26,21,1665609,767000000360000,19759360000,4616106607492000000
2025-05-27,22,1662595,767000000180000,17334180000,4616873587733000000
2025-05-28,23,1683943,767000000410000,17338410000,4617640570399000000
2025-05-29,24,1667366,767000000260000,17733260000,4618407553061000000
2025-05-30,25,1588800,767000000140000,17371140000,4619174535328000000
2025-05-31,26,1692140,767000000100000,15999100000,4619941517957000000
2025-06-01,27,1700634,767000000310000,16461310000,4620708501958000000
2025-06-02,28,1688469,767000000260000,16416260000,4621475485497000000
2025-06-03,29,1682113,767000000190000,16332190000,4622242469081000000
2025-06-04,30,1685500,767000000330000,17855330000,4623009452749000000
2025-06-05,31,1694519,767000000410000,17342410000,4623776434894000000
2025-06-06,32,1710697,767000000430000,18661430000,4624543417552000000
2025-06-07,33,1715598,767000000270000,18973270000,4625310398891000000
2025-06-08,34,1706085,767000000270000,19536270000,4626077379918000000
2025-06-09,35,1710354,767000000480000,18375480000,4626844360382000000
2025-06-10,36,1700766,767000000710000,18279710000,4627611342007000000
2025-06-11,37,1705648,767000001150000,16949150000,4628378323728000000
2025-06-12,38,1701533,767000001400000,16123400000,4629145306780000000
2025-06-13,39,1722274,767000000590000,15075590000,4629912290658000000
2025-06-14,40,1719933,767000000780000,14599780000,4630679275583000000
2025-06-15,41,1711586,767000000190000,14418190000,4631446260984000000
2025-06-16,42,1705486,767000000180000,17528180000,4632213246566000000
2025-06-17,43,1705915,767000000680000,18707680000,4632980229038000000
2025-06-18,44,1703887,767000000160000,18926160000,4633747210331000000
2025-06-19,45,1706364,767000000170000,16448170000,4634514191405000000
2025-06-20,46,1711753,767000000130000,17065130000,4635281174957000000
2025-06-21,47,1719689,767000000150000,17857150000,4636048157892000000
2025-06-22,48,1669606,767000000190000,17804190000,4636815140035000000
